pos,c,twist,airfoil
0,1,0,NACA0010
0.2,1,1,NACA0010
0.4,1,2,NACA0010
0.6,1,3,NACA0010
0.8,1,4,NACA0010
1,1,5,NACA0010
1.2,1,6,NACA0010
1.4,1,7,NACA0010
1.6,1,8,NACA0010
1.8,1,9,NACA0010
2,1,10,NACA0010
2.2,1,11,NACA0010
2.4,1,12,NACA0010
2.6,1,13,NACA0010
2.8,1,14,NACA0010
3,1,15,NACA0010
3.2,1,16,NACA0015
3.4,1,17,NACA0015
3.6,1,18,NACA0015
3.8,1,19,NACA0015
4,1,20,NACA0015
4.2,1,21,NACA0015
4.4,1,22,NACA0015
4.6,1,23,NACA0015
4.8,1,24,NACA0015
5,1,25,NACA0015
5.2,1,26,NACA0015
5.4,1,27,NACA0015
5.6,1,28,NACA0015
5.8,1,29,NACA0015
6,1,30,NACA0015
6.2,1,31,NACA0020
6.4,1,32,NACA0020
6.6,1,33,NACA0020
6.8,1,34,NACA0020
7,1,35,NACA0020
7.2,1,36,NACA0020
7.4,1,37,NACA0020
7.6,1,38,NACA0020
7.8,1,39,NACA0020
8,1,40,NACA0020
8.2,1,41,NACA0020
8.4,1,42,NACA0020
8.6,1,43,NACA0020
8.8,1,44,NACA0020
9,1,45,NACA0020
9.2,1,46,NACA0020
9.4,1,47,NACA0020
9.6,1,48,NACA0020
9.8,1,49,NACA0020
10,1,50,NACA0020
