,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
10,90,1.570796325,1.00179259904658,0,0,,,(,0,0,0,),,(,0,0,0.3,)
9,83,1.4486232775,1.00177831777847,-0.000230333062141,0,,,(,0.00024671981657,-0.004169154968825,0,),,(,0.00024671981657,-0.004169154968825,0.3,)
8,76,1.32645023,1.0017356868758,-0.000457232385463,0,,,(,0.00098663578361,-0.008281076632908,0,),,(,0.00098663578361,-0.008281076632908,0.3,)
7,69,1.2042771825,1.00166534186713,-0.000677315427069,0,,,(,0.002219017693393,-0.01233412270381,0,),,(,0.002219017693393,-0.01233412270381,0.3,)
6,62,1.082104135,1.00156833143451,-0.000887301255729,0,,,(,0.003942649333763,-0.016326255032679,0,),,(,0.003942649333763,-0.016326255032679,0.3,)
5,55,0.9599310875,1.00144610178006,-0.001084059466402,0,,,(,0.006155829688392,-0.020255052161572,0,),,(,0.006155829688392,-0.020255052161572,0.3,)
4,48,0.83775804,1.00130047506638,-0.001264656847363,0,,,(,0.008856374615476,-0.024117726581769,0,),,(,0.008856374615476,-0.024117726581769,0.3,)
3,41,0.7155849925,1.00113362225235,-0.001426401107635,0,,,(,0.012041619003218,-0.027911146491243,0,),,(,0.012041619003218,-0.027911146491243,0.3,)
2,34,0.593411945,1.00094803072911,-0.001566881012846,0,,,(,0.015708419399975,-0.031631861788986,0,),,(,0.015708419399975,-0.031631861788986,0.3,)
1,27,0.4712388975,1.0007464672388,-0.001684002331178,0,,,(,0.01985315711646,-0.035276133992987,0,),,(,0.01985315711646,-0.035276133992987,0.3,)
0,20,0.34906585,1.0005319366288,-0.001776019053543,0,,,(,0.024471741796958,-0.038839969722032,0,),,(,0.024471741796958,-0.038839969722032,0.3,)
100,180,3.14159265,1,-0.00189,0,,,(,0.029559615456007,-0.042319157339681,0,),,(,0.029559615456007,-0.042319157339681,0.3,)
99,178.2,3.1101767235,0.999753280127051,-0.0019419179661,0,,,(,0.035111756976585,-0.045709306322508,0,),,(,0.035111756976585,-0.045709306322508,0.3,)
