AeroDyn airfoil file Created with QBlade CE v 2.0.6.4_beta unix on 29.11.2023 at 11:37:12 Compatible with AeroDyn v13.0.
Polar "DU25_A17.dat" on Foil "DU25_A17_coords" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.36          Angle of attack for zero Cn for linear Cn curve (deg)
7.37981        Cn slope for zero lift for linear Cn curve (1/rad)
1.4246         Cn at stall value for positive angle of attack for linear Cn curve
-0.9725        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0065         Minimum CD value
  -180.000  0.000000  0.020200  0.000000
  -175.000  0.368000  0.032400  0.184500
  -170.000  0.735000  0.094300  0.370100
  -160.000  0.695000  0.284800  0.267900
  -155.000  0.777000  0.400100  0.304600
  -150.000  0.828000  0.521500  0.332900
  -145.000  0.850000  0.644700  0.354000
  -140.000  0.846000  0.766000  0.369300
  -135.000  0.818000  0.882300  0.379400
  -130.000  0.771000  0.991100  0.385400
  -125.000  0.705000  1.090500  0.387800
  -120.000  0.624000  1.178700  0.387200
  -115.000  0.530000  1.254500  0.384100
  -110.000  0.426000  1.316800  0.378800
  -105.000  0.314000  1.365000  0.371600
  -100.000  0.195000  1.398400  0.362900
   -95.000  0.073000  1.416900  0.352900
   -90.000 -0.050000  1.420100  0.341600
   -85.000 -0.173000  1.408100  0.329200
   -80.000 -0.294000  1.381100  0.315900
   -75.000 -0.409000  1.339400  0.301700
   -70.000 -0.518000  1.283300  0.286600
   -65.000 -0.617000  1.213800  0.270700
   -60.000 -0.706000  1.131500  0.253900
   -55.000 -0.780000  1.037800  0.236400
   -50.000 -0.839000  0.934100  0.218100
   -45.000 -0.879000  0.822100  0.199100
   -40.000 -0.898000  0.704200  0.179200
   -35.000 -0.893000  0.582900  0.158700
   -30.000 -0.862000  0.461600  0.137400
   -25.000 -0.803000  0.344100  0.115400
   -24.000 -0.792000  0.320900  0.110100
   -23.000 -0.789000  0.297200  0.103100
   -22.000 -0.792000  0.273000  0.094700
   -21.000 -0.801000  0.248500  0.084900
   -20.000 -0.815000  0.223700  0.073900
   -19.000 -0.833000  0.199000  0.061800
   -18.000 -0.854000  0.174300  0.048800
   -17.000 -0.879000  0.149800  0.035100
   -16.000 -0.905000  0.125600  0.020800
   -15.000 -0.932000  0.102000  0.006000
   -14.000 -0.959000  0.078900 -0.009100
   -13.000 -0.985000  0.056700 -0.024300
   -12.010 -0.953000  0.027100 -0.034900
   -11.000 -0.900000  0.030300 -0.036100
    -9.980 -0.827000  0.028700 -0.046400
    -8.980 -0.753000  0.027100 -0.053400
    -8.470 -0.691000  0.026400 -0.065000
