# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	5.688452e-01	2.761744e-01	2.926708e-01	1.649638e-02	4.461246e-03	1.203514e-02	-3.786945e-03	-8.248191e-03	2.844226e-01	-1.118429e-19	2.844226e-01	-2.844226e-01
2             	7.913465e-01	3.859721e-01	4.053745e-01	1.940244e-02	3.960222e-03	1.544221e-02	-5.740996e-03	-9.701218e-03	3.956733e-01	-1.524214e-19	3.956733e-01	-3.956733e-01
3             	7.103092e-01	3.446762e-01	3.656330e-01	2.095678e-02	3.681154e-03	1.727562e-02	-6.797235e-03	-1.047839e-02	3.551546e-01	-1.288340e-19	3.551546e-01	-3.551546e-01
4             	4.574215e-01	2.176488e-01	2.397727e-01	2.212398e-02	3.833847e-03	1.829013e-02	-7.228144e-03	-1.106199e-02	2.287108e-01	-7.124015e-20	2.287108e-01	-2.287108e-01
5             	1.561217e-01	6.409284e-02	9.202891e-02	2.793608e-02	7.485316e-03	2.045076e-02	-6.482722e-03	-1.396804e-02	7.806087e-02	-3.138890e-21	7.806087e-02	-7.806087e-02
6             	-8.727142e-02	-6.078916e-02	-2.648226e-02	3.430690e-02	1.103253e-02	2.327437e-02	-6.120920e-03	-1.715345e-02	-4.363571e-02	4.902626e-20	-4.363571e-02	4.363571e-02
7             	-2.190301e-01	-1.296442e-01	-8.938593e-02	4.025828e-02	1.397617e-02	2.628211e-02	-6.152966e-03	-2.012914e-02	-1.095151e-01	7.522763e-20	-1.095151e-01	1.095151e-01
8             	-2.370166e-01	-1.393339e-01	-9.768266e-02	4.165124e-02	1.387032e-02	2.778091e-02	-6.955295e-03	-2.082562e-02	-1.185083e-01	7.752965e-20	-1.185083e-01	1.185083e-01
9             	-1.724164e-01	-1.073069e-01	-6.510953e-02	4.219736e-02	1.311794e-02	2.907943e-02	-7.980743e-03	-2.109868e-02	-8.620821e-02	6.280412e-20	-8.620821e-02	8.620821e-02
10            	-7.157208e-02	-5.727382e-02	-1.429826e-02	4.297557e-02	1.317343e-02	2.980213e-02	-8.314349e-03	-2.148778e-02	-3.578604e-02	4.151078e-20	-3.578604e-02	3.578604e-02
11            	2.503137e-02	-9.843938e-03	3.487531e-02	4.471924e-02	1.386072e-02	3.085852e-02	-8.498898e-03	-2.235962e-02	1.251568e-02	2.178807e-20	1.251568e-02	-1.251568e-02
12            	9.157744e-02	2.234165e-02	6.923579e-02	4.689414e-02	1.507342e-02	3.182072e-02	-8.373651e-03	-2.344707e-02	4.578872e-02	8.679583e-21	4.578872e-02	-4.578872e-02
13            	1.197045e-01	3.524186e-02	8.446264e-02	4.922078e-02	1.652527e-02	3.269551e-02	-8.085119e-03	-2.461039e-02	5.985225e-02	3.728141e-21	5.985225e-02	-5.985225e-02
14            	1.146407e-01	3.183020e-02	8.281053e-02	5.098034e-02	1.779681e-02	3.318353e-02	-7.693361e-03	-2.549017e-02	5.732037e-02	5.552136e-21	5.732037e-02	-5.732037e-02
15            	8.867933e-02	1.775807e-02	7.092126e-02	5.316319e-02	1.906623e-02	3.409696e-02	-7.515365e-03	-2.658159e-02	4.433966e-02	1.148653e-20	4.433966e-02	-4.433966e-02
16            	5.593828e-02	3.309077e-04	5.560737e-02	5.527646e-02	2.033354e-02	3.494293e-02	-7.304694e-03	-2.763823e-02	2.796914e-02	1.825682e-20	2.796914e-02	-2.796914e-02
17            	2.762925e-02	-1.505178e-02	4.268103e-02	5.773280e-02	2.183394e-02	3.589887e-02	-7.032467e-03	-2.886640e-02	1.381462e-02	2.386734e-20	1.381462e-02	-1.381462e-02
18            	9.981467e-03	-2.484534e-02	3.482681e-02	5.967215e-02	2.311768e-02	3.655447e-02	-6.718396e-03	-2.983607e-02	4.990734e-03	2.713735e-20	4.990734e-03	-4.990734e-03
19            	4.130056e-03	-2.849289e-02	3.262295e-02	6.111584e-02	2.398642e-02	3.712942e-02	-6.571500e-03	-3.055792e-02	2.065028e-03	2.809942e-20	2.065028e-03	-2.065028e-03
20            	7.540535e-03	-2.747529e-02	3.501582e-02	6.249111e-02	2.460933e-02	3.788179e-02	-6.636229e-03	-3.124556e-02	3.770267e-03	2.722029e-20	3.770267e-03	-3.770267e-03
21            	1.606850e-02	-2.354460e-02	3.961310e-02	6.315769e-02	2.468756e-02	3.847014e-02	-6.891289e-03	-3.157885e-02	8.034250e-03	2.539512e-20	8.034250e-03	-8.034250e-03
22            	2.582403e-02	-1.872052e-02	4.454455e-02	6.326507e-02	2.436916e-02	3.889591e-02	-7.263378e-03	-3.163253e-02	1.291202e-02	2.343907e-20	1.291202e-02	-1.291202e-02
