# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-1.351092e+01	-6.763749e+00	-6.747169e+00	1.657970e-02	6.682682e-04	1.591143e-02	-7.621580e-03	-8.289848e-03	-6.755459e+00	3.857656e-19	-6.755459e+00	6.755459e+00
2             	-8.094459e+00	-4.064186e+00	-4.030272e+00	3.391383e-02	2.071496e-03	3.184234e-02	-1.488542e-02	-1.695692e-02	-4.047229e+00	1.458213e-19	-4.047229e+00	4.047229e+00
3             	4.405178e+01	2.548888e+01	1.856290e+01	-6.925987e+00	1.600741e-01	-7.086061e+00	3.623067e+00	3.462993e+00	2.202589e+01	-8.303931e-18	2.202589e+01	-2.202589e+01
4             	3.988533e+02	2.517486e+02	1.471047e+02	-1.046439e+02	-1.107554e+00	-1.035363e+02	5.121438e+01	5.232193e+01	1.994267e+02	-6.782592e-17	1.994267e+02	-1.994267e+02
5             	6.401668e+02	3.440458e+02	2.961210e+02	-4.792483e+01	-7.348003e+00	-4.057682e+01	1.661441e+01	2.396241e+01	3.200834e+02	-1.023056e-16	3.200834e+02	-3.200834e+02
6             	4.700755e+02	2.116230e+02	2.584525e+02	4.682948e+01	-5.948855e+00	5.277834e+01	-2.936360e+01	-2.341474e+01	2.350378e+02	-8.661194e-17	2.350378e+02	-2.350378e+02
7             	1.010494e+02	3.276372e-01	1.007218e+02	1.003941e+02	-2.081854e+00	1.024760e+02	-5.227892e+01	-5.019707e+01	5.052470e+01	-4.054902e-17	5.052470e+01	-5.052470e+01
8             	-2.077374e+02	-1.392638e+02	-6.847365e+01	7.079013e+01	1.583101e+00	6.920703e+01	-3.381197e+01	-3.539507e+01	-1.038687e+02	3.702045e-18	-1.038687e+02	1.038687e+02
9             	-2.971219e+02	-1.766927e+02	-1.204292e+02	5.626354e+01	3.944371e+00	5.231917e+01	-2.418740e+01	-2.813177e+01	-1.485609e+02	2.922207e-17	-1.485609e+02	1.485609e+02
10            	1.061010e+02	7.868102e+01	2.741997e+01	-5.126104e+01	6.528421e+00	-5.778946e+01	3.215894e+01	2.563052e+01	5.305049e+01	2.522566e-17	5.305049e+01	-5.305049e+01
11            	1.011530e+03	4.076039e+02	6.039257e+02	1.963217e+02	2.410993e+01	1.722118e+02	-7.405093e+01	-9.816086e+01	5.057648e+02	-3.652626e-18	5.057648e+02	-5.057648e+02
12            	1.374241e+03	2.772928e+02	1.096948e+03	8.196552e+02	5.032763e+01	7.693276e+02	-3.595000e+02	-4.098276e+02	6.871204e+02	-2.909883e-17	6.871204e+02	-6.871204e+02
13            	1.040723e+03	8.104134e+01	9.596817e+02	8.786404e+02	6.366020e+01	8.149802e+02	-3.756600e+02	-4.393202e+02	5.203615e+02	-3.725588e-17	5.203615e+02	-5.203615e+02
14            	3.769174e+02	-8.466332e+01	4.615807e+02	5.462440e+02	5.369763e+01	4.925464e+02	-2.194244e+02	-2.731220e+02	1.884587e+02	-3.085143e-17	1.884587e+02	-1.884587e+02
15            	-5.636043e+01	-1.881470e+02	1.317865e+02	3.199335e+02	4.276488e+01	2.771687e+02	-1.172019e+02	-1.599668e+02	-2.818022e+01	-2.075348e-17	-2.818022e+01	2.818022e+01
16            	-2.965530e+02	-9.644708e+01	-2.001059e+02	-1.036588e+02	2.230865e+01	-1.259675e+02	7.413805e+01	5.182940e+01	-1.482765e+02	-9.615320e-18	-1.482765e+02	1.482765e+02
17            	-3.317183e+02	4.312176e+01	-3.748400e+02	-4.179618e+02	9.330557e-01	-4.188949e+02	2.099140e+02	2.089809e+02	-1.658591e+02	-1.276143e-18	-1.658591e+02	1.658591e+02
18            	-1.955359e+02	1.531373e+02	-3.486732e+02	-5.018104e+02	-1.470926e+01	-4.871012e+02	2.361959e+02	2.509052e+02	-9.776795e+01	1.632191e-18	-9.776795e+01	9.776795e+01
19            	-8.870521e+00	2.041714e+02	-2.130419e+02	-4.172132e+02	-2.274450e+01	-3.944687e+02	1.858621e+02	2.086066e+02	-4.435260e+00	3.702480e-19	-4.435260e+00	4.435260e+00
20            	1.186469e+02	1.903540e+02	-7.170707e+01	-2.620610e+02	-2.256347e+01	-2.394976e+02	1.084671e+02	1.310305e+02	5.932346e+01	-2.516749e-18	5.932346e+01	-5.932346e+01
21            	1.550580e+02	1.258679e+02	2.919004e+01	-9.667791e+01	-1.551172e+01	-8.116618e+01	3.282723e+01	4.833895e+01	7.752899e+01	-5.312766e-18	7.752899e+01	-7.752899e+01
22            	1.281200e+02	5.096635e+01	7.715367e+01	2.618732e+01	-4.107105e+00	3.029443e+01	-1.720077e+01	-1.309366e+01	6.406001e+01	-7.281930e-18	6.406001e+01	-6.406001e+01
