# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-2.914542e+01	-1.457066e+01	-1.457476e+01	-4.096096e-03	-3.350519e-04	-3.761044e-03	1.712996e-03	2.048048e-03	-1.457271e+01	9.609767e-20	-1.457271e+01	1.457271e+01
2             	-1.642808e+01	-8.308293e+00	-8.119782e+00	1.885110e-01	2.254828e-02	1.659627e-01	-7.170723e-02	-9.425551e-02	-8.214038e+00	7.175581e-20	-8.214038e+00	8.214038e+00
3             	1.110259e+02	6.053549e+01	5.049039e+01	-1.004510e+01	1.322987e-01	-1.017740e+01	5.154848e+00	5.022550e+00	5.551294e+01	-2.141118e-18	5.551294e+01	-5.551294e+01
4             	2.603873e+02	5.434439e+01	2.060429e+02	1.516985e+02	2.749397e+00	1.489491e+02	-7.309984e+01	-7.584924e+01	1.301936e+02	-1.079720e-17	1.301936e+02	-1.301936e+02
5             	5.569543e+02	2.280770e+02	3.288773e+02	1.008003e+02	7.154519e+00	9.364580e+01	-4.324564e+01	-5.040016e+01	2.784771e+02	-1.566118e-17	2.784771e+02	-2.784771e+02
6             	3.585539e+02	-9.153047e-01	3.594692e+02	3.603845e+02	7.617942e+00	3.527665e+02	-1.725743e+02	-1.801922e+02	1.792769e+02	-1.051370e-17	1.792769e+02	-1.792769e+02
7             	8.851678e+01	-8.976310e+01	1.782799e+02	2.680430e+02	3.964249e+00	2.640787e+02	-1.300572e+02	-1.340215e+02	4.425839e+01	-2.505388e-18	4.425839e+01	-4.425839e+01
8             	-1.520861e+02	-1.124811e+02	-3.960497e+01	7.287614e+01	2.384077e+00	7.049206e+01	-3.405399e+01	-3.643807e+01	-7.604304e+01	3.321087e-18	-7.604304e+01	7.604304e+01
9             	-1.498860e+02	-1.065767e+02	-4.330934e+01	6.326734e+01	3.461671e+00	5.980567e+01	-2.817200e+01	-3.163367e+01	-7.494301e+01	5.485772e-18	-7.494301e+01	7.494301e+01
10            	8.517732e+01	-9.459507e+01	1.797724e+02	2.743675e+02	5.090743e+00	2.692767e+02	-1.320930e+02	-1.371837e+02	4.258866e+01	3.430823e-18	4.258866e+01	-4.258866e+01
11            	3.072130e+02	-7.129688e+01	3.785099e+02	4.498068e+02	8.667145e+00	4.411396e+02	-2.162362e+02	-2.249034e+02	1.536065e+02	-5.145618e-19	1.536065e+02	-1.536065e+02
12            	3.873672e+02	-4.561531e+01	4.329825e+02	4.785978e+02	1.221567e+01	4.663822e+02	-2.270832e+02	-2.392989e+02	1.936836e+02	-3.319971e-18	1.936836e+02	-1.936836e+02
13            	3.113647e+02	-2.658425e+01	3.379489e+02	3.645332e+02	1.322455e+01	3.513086e+02	-1.690420e+02	-1.822666e+02	1.556823e+02	-4.569883e-18	1.556823e+02	-1.556823e+02
14            	1.390401e+02	-5.025678e+00	1.440657e+02	1.490914e+02	1.109633e+01	1.379951e+02	-6.344938e+01	-7.454571e+01	6.952004e+01	-4.231826e-18	6.952004e+01	-6.952004e+01
15            	-2.957661e+01	5.811953e+00	-3.538856e+01	-4.120051e+01	5.998000e+00	-4.719851e+01	2.659826e+01	2.060026e+01	-1.478830e+01	-2.647849e-18	-1.478830e+01	1.478830e+01
16            	-1.141636e+02	3.506263e+00	-1.176698e+02	-1.211761e+02	1.033537e+00	-1.222096e+02	6.162158e+01	6.058804e+01	-5.708178e+01	-1.030963e-18	-5.708178e+01	5.708178e+01
17            	-9.247606e+01	-2.800056e+00	-8.967601e+01	-8.687595e+01	-1.114213e+00	-8.576174e+01	4.232376e+01	4.343798e+01	-4.623803e+01	6.442051e-20	-4.623803e+01	4.623803e+01
18            	-1.323267e+01	-1.176084e+01	-1.471825e+00	1.028902e+01	-9.885675e-02	1.038788e+01	-5.243366e+00	-5.144509e+00	-6.616334e+00	4.448153e-19	-6.616334e+00	6.616334e+00
19            	5.830531e+01	-1.691082e+01	7.521613e+01	9.212695e+01	2.476947e+00	8.965001e+01	-4.358653e+01	-4.606348e+01	2.915266e+01	2.051549e-19	2.915266e+01	-2.915266e+01
20            	9.639725e+01	-1.537106e+01	1.117683e+02	1.271394e+02	5.999867e+00	1.211395e+02	-5.756982e+01	-6.356969e+01	4.819863e+01	-3.256231e-19	4.819863e+01	-4.819863e+01
21            	9.178176e+01	-1.148163e+01	1.032634e+02	1.147450e+02	8.247881e+00	1.064971e+02	-4.912463e+01	-5.737251e+01	4.589088e+01	-9.266917e-19	4.589088e+01	-4.589088e+01
22            	6.115872e+01	-8.798918e+00	6.995764e+01	7.875655e+01	8.386397e+00	7.037016e+01	-3.099188e+01	-3.937828e+01	3.057936e+01	-1.238795e-18	3.057936e+01	-3.057936e+01
23            	2.856466e+01	-6.190004e+00	3.475466e+01	4.094467e+01	7.236111e+00	3.370855e+01	-1.323622e+01	-2.047233e+01	1.428233e+01	-1.377406e-18	1.428233e+01	-1.428233e+01
24            	1.048879e+01	-5.833756e+00	1.632255e+01	2.215631e+01	5.568938e+00	1.658737e+01	-5.509216e+00	-1.107815e+01	5.244397e+00	-1.311026e-18	5.244397e+00	-5.244397e+00
25            	7.038174e+00	-5.636996e+00	1.267517e+01	1.831217e+01	3.997090e+00	1.431508e+01	-5.158993e+00	-9.156083e+00	3.519087e+00	-1.036423e-18	3.519087e+00	-3.519087e+00
26            	1.191504e+01	-4.822262e+00	1.673730e+01	2.155956e+01	3.168288e+00	1.839128e+01	-7.611494e+00	-1.077978e+01	5.957520e+00	-7.326201e-19	5.957520e+00	-5.957520e+00
27            	1.972300e+01	-3.399942e+00	2.312294e+01	2.652288e+01	3.241113e+00	2.328177e+01	-1.002033e+01	-1.326144e+01	9.861498e+00	-5.133632e-19	9.861498e+00	-9.861498e+00
28            	2.682642e+01	-1.809213e+00	2.863563e+01	3.044484e+01	4.023398e+00	2.642144e+01	-1.119902e+01	-1.522242e+01	1.341321e+01	-3.828902e-19	1.341321e+01	-1.341321e+01
29            	2.977798e+01	-4.615956e-01	3.023958e+01	3.070117e+01	4.962597e+00	2.573858e+01	-1.038799e+01	-1.535059e+01	1.488899e+01	-3.806060e-19	1.488899e+01	-1.488899e+01
30            	2.899092e+01	-3.182904e-01	2.930921e+01	2.962750e+01	5.667499e+00	2.396000e+01	-9.146249e+00	-1.481375e+01	1.449546e+01	-4.344074e-19	1.449546e+01	-1.449546e+01
31            	2.600406e+01	-1.505307e+00	2.750937e+01	2.901467e+01	5.962586e+00	2.305209e+01	-8.544750e+00	-1.450734e+01	1.300203e+01	-4.870689e-19	1.300203e+01	-1.300203e+01
32            	2.245004e+01	-3.085418e+00	2.553546e+01	2.862087e+01	5.826694e+00	2.279418e+01	-8.483744e+00	-1.431044e+01	1.122502e+01	-5.121391e-19	1.122502e+01	-1.122502e+01
33            	1.964001e+01	-4.432592e+00	2.407260e+01	2.850519e+01	5.462012e+00	2.304318e+01	-8.790585e+00	-1.425260e+01	9.820004e+00	-5.565093e-19	9.820004e+00	-9.820004e+00
34            	1.780135e+01	-5.062100e+00	2.286345e+01	2.792555e+01	5.020523e+00	2.290503e+01	-8.942254e+00	-1.396278e+01	8.900677e+00	-5.382012e-19	8.900677e+00	-8.900677e+00
35            	1.730256e+01	-5.235579e+00	2.253813e+01	2.777371e+01	4.693155e+00	2.308056e+01	-9.193702e+00	-1.388686e+01	8.651278e+00	-4.980777e-19	8.651278e+00	-8.651278e+00
36            	1.758013e+01	-4.957754e+00	2.253788e+01	2.749563e+01	4.564371e+00	2.293126e+01	-9.183446e+00	-1.374782e+01	8.790063e+00	-4.595204e-19	8.790063e+00	-8.790063e+00
37            	1.809440e+01	-4.129866e+00	2.222426e+01	2.635413e+01	4.654773e+00	2.169935e+01	-8.522291e+00	-1.317706e+01	9.047198e+00	-4.251664e-19	9.047198e+00	-9.047198e+00
38            	1.852227e+01	-3.538011e+00	2.206029e+01	2.559830e+01	4.840276e+00	2.075802e+01	-7.958872e+00	-1.279915e+01	9.261137e+00	-3.712904e-19	9.261137e+00	-9.261137e+00
39            	1.868006e+01	-3.164203e+00	2.184427e+01	2.500847e+01	5.047075e+00	1.996140e+01	-7.457161e+00	-1.250424e+01	9.340032e+00	-3.458954e-19	9.340032e+00	-9.340032e+00
40            	1.858273e+01	-3.245787e+00	2.182852e+01	2.507431e+01	5.199252e+00	1.987505e+01	-7.337901e+00	-1.253715e+01	9.291365e+00	-3.320750e-19	9.291365e+00	-9.291365e+00
41            	1.829303e+01	-3.469313e+00	2.176234e+01	2.523165e+01	5.258412e+00	1.997324e+01	-7.357414e+00	-1.261583e+01	9.146513e+00	-3.303831e-19	9.146513e+00	-9.146513e+00
42            	1.784550e+01	-3.637436e+00	2.148294e+01	2.512037e+01	5.253357e+00	1.986702e+01	-7.306829e+00	-1.256019e+01	8.922750e+00	-3.012512e-19	8.922750e+00	-8.922750e+00
43            	1.727809e+01	-3.471872e+00	2.074996e+01	2.422184e+01	5.198304e+00	1.902353e+01	-6.912615e+00	-1.211092e+01	8.639046e+00	-2.977707e-19	8.639046e+00	-8.639046e+00
44            	1.674510e+01	-3.058716e+00	1.980382e+01	2.286253e+01	5.137189e+00	1.772535e+01	-6.294078e+00	-1.143127e+01	8.372552e+00	-2.834420e-19	8.372552e+00	-8.372552e+00
45            	1.628198e+01	-2.597315e+00	1.887929e+01	2.147660e+01	5.077865e+00	1.639874e+01	-5.660438e+00	-1.073830e+01	8.140988e+00	-2.826519e-19	8.140988e+00	-8.140988e+00
46            	1.591424e+01	-2.022122e+00	1.793636e+01	1.995848e+01	5.057327e+00	1.490116e+01	-4.921915e+00	-9.979242e+00	7.957121e+00	-2.771389e-19	7.957121e+00	-7.957121e+00
47            	1.565727e+01	-1.340390e+00	1.699766e+01	1.833805e+01	5.070708e+00	1.326734e+01	-4.098315e+00	-9.169023e+00	7.828634e+00	-2.672438e-19	7.828634e+00	-7.828634e+00
48            	1.554663e+01	-7.321293e-01	1.627875e+01	1.701088e+01	5.112625e+00	1.189826e+01	-3.392817e+00	-8.505442e+00	7.773313e+00	-2.607281e-19	7.773313e+00	-7.773313e+00
49            	1.565824e+01	-2.666028e-01	1.592484e+01	1.619144e+01	5.164129e+00	1.102731e+01	-2.931592e+00	-8.095722e+00	7.829119e+00	-2.543135e-19	7.829119e+00	-7.829119e+00
50            	1.583588e+01	-1.332971e-01	1.596917e+01	1.610247e+01	5.209477e+00	1.089299e+01	-2.841758e+00	-8.051235e+00	7.917938e+00	-2.444324e-19	7.917938e+00	-7.917938e+00
51            	1.591695e+01	-1.755891e-01	1.609254e+01	1.626813e+01	5.240374e+00	1.102775e+01	-2.893689e+00	-8.134063e+00	7.958474e+00	-2.289501e-19	7.958474e+00	-7.958474e+00
52            	1.589429e+01	-5.301579e-01	1.642445e+01	1.695461e+01	5.256645e+00	1.169796e+01	-3.220658e+00	-8.477303e+00	7.947145e+00	-2.140680e-19	7.947145e+00	-7.947145e+00
53            	1.585227e+01	-8.981705e-01	1.675044e+01	1.764861e+01	5.282381e+00	1.236623e+01	-3.541923e+00	-8.824304e+00	7.926134e+00	-1.880683e-19	7.926134e+00	-7.926134e+00
54            	1.584930e+01	-1.138622e+00	1.698792e+01	1.812655e+01	5.319745e+00	1.280680e+01	-3.743529e+00	-9.063273e+00	7.924651e+00	-1.754940e-19	7.924651e+00	-7.924651e+00
55            	1.597927e+01	-1.421873e+00	1.740115e+01	1.882302e+01	5.377427e+00	1.344559e+01	-4.034083e+00	-9.411510e+00	7.989637e+00	-1.628067e-19	7.989637e+00	-7.989637e+00
56            	1.615640e+01	-1.635667e+00	1.779207e+01	1.942773e+01	5.440609e+00	1.398713e+01	-4.273258e+00	-9.713867e+00	8.078200e+00	-1.525427e-19	8.078200e+00	-8.078200e+00
57            	1.647944e+01	-1.972387e+00	1.845183e+01	2.042422e+01	5.493952e+00	1.493027e+01	-4.718157e+00	-1.021211e+01	8.239722e+00	-1.440986e-19	8.239722e+00	-8.239722e+00
58            	1.674179e+01	-2.365212e+00	1.910700e+01	2.147221e+01	5.538796e+00	1.593342e+01	-5.197311e+00	-1.073611e+01	8.370895e+00	-1.408351e-19	8.370895e+00	-8.370895e+00
59            	1.687418e+01	-2.820803e+00	1.969499e+01	2.251579e+01	5.569636e+00	1.694615e+01	-5.688259e+00	-1.125789e+01	8.437092e+00	-1.413750e-19	8.437092e+00	-8.437092e+00
60            	1.681502e+01	-3.338210e+00	2.015323e+01	2.349144e+01	5.591775e+00	1.789966e+01	-6.153944e+00	-1.174572e+01	8.407509e+00	-1.331628e-19	8.407509e+00	-8.407509e+00
61            	1.662921e+01	-3.745458e+00	2.037467e+01	2.412013e+01	5.617332e+00	1.850280e+01	-6.442733e+00	-1.206006e+01	8.314607e+00	-1.296281e-19	8.314607e+00	-8.314607e+00
62            	1.623022e+01	-3.861940e+00	2.009216e+01	2.395410e+01	5.634614e+00	1.831948e+01	-6.342435e+00	-1.197705e+01	8.115109e+00	-1.251732e-19	8.115109e+00	-8.115109e+00
63            	1.579459e+01	-3.808342e+00	1.960294e+01	2.341128e+01	5.652987e+00	1.775829e+01	-6.052652e+00	-1.170564e+01	7.897297e+00	-1.173655e-19	7.897297e+00	-7.897297e+00
64            	1.534293e+01	-3.722536e+00	1.906546e+01	2.278800e+01	5.658956e+00	1.712904e+01	-5.735044e+00	-1.139400e+01	7.671464e+00	-1.143045e-19	7.671464e+00	-7.671464e+00
65            	1.491965e+01	-3.680451e+00	1.860010e+01	2.228055e+01	5.651312e+00	1.662924e+01	-5.488964e+00	-1.114028e+01	7.459825e+00	-1.095840e-19	7.459825e+00	-7.459825e+00
66            	1.461698e+01	-3.718871e+00	1.833585e+01	2.205472e+01	5.636493e+00	1.641823e+01	-5.390866e+00	-1.102736e+01	7.308488e+00	-1.004035e-19	7.308488e+00	-7.308488e+00
67            	1.439818e+01	-3.896688e+00	1.829487e+01	2.219156e+01	5.621201e+00	1.657035e+01	-5.474577e+00	-1.109578e+01	7.199089e+00	-9.466060e-20	7.199089e+00	-7.199089e+00
68            	1.420392e+01	-4.287729e+00	1.849165e+01	2.277938e+01	5.603804e+00	1.717558e+01	-5.785888e+00	-1.138969e+01	7.101962e+00	-8.988023e-20	7.101962e+00	-7.101962e+00
69            	1.387325e+01	-4.648941e+00	1.852219e+01	2.317113e+01	5.592170e+00	1.757896e+01	-5.993395e+00	-1.158556e+01	6.936624e+00	-7.978525e-20	6.936624e+00	-6.936624e+00
70            	1.355475e+01	-4.957075e+00	1.851182e+01	2.346890e+01	5.598036e+00	1.787086e+01	-6.136412e+00	-1.173445e+01	6.777373e+00	-7.978870e-20	6.777373e+00	-6.777373e+00
71            	1.329726e+01	-5.182063e+00	1.847933e+01	2.366139e+01	5.620896e+00	1.804049e+01	-6.209799e+00	-1.183070e+01	6.648632e+00	-7.335474e-20	6.648632e+00	-6.648632e+00
72            	1.317360e+01	-5.026944e+00	1.820054e+01	2.322749e+01	5.671530e+00	1.755596e+01	-5.942213e+00	-1.161374e+01	6.586799e+00	-7.138611e-20	6.586799e+00	-6.586799e+00
73            	1.301604e+01	-4.697129e+00	1.771317e+01	2.241030e+01	5.716903e+00	1.669340e+01	-5.488246e+00	-1.120515e+01	6.508020e+00	-7.134400e-20	6.508020e+00	-6.508020e+00
74            	1.280411e+01	-4.694838e+00	1.749895e+01	2.219379e+01	5.746535e+00	1.644725e+01	-5.350358e+00	-1.109689e+01	6.402055e+00	-7.048787e-20	6.402055e+00	-6.402055e+00
75            	1.256761e+01	-5.004214e+00	1.757182e+01	2.257603e+01	5.771163e+00	1.680487e+01	-5.516854e+00	-1.128802e+01	6.283803e+00	-6.722787e-20	6.283803e+00	-6.283803e+00
76            	1.226355e+01	-5.443571e+00	1.770712e+01	2.315070e+01	5.803489e+00	1.734721e+01	-5.771859e+00	-1.157535e+01	6.131777e+00	-6.595676e-20	6.131777e+00	-6.131777e+00
77            	1.191211e+01	-5.877723e+00	1.778983e+01	2.366755e+01	5.841064e+00	1.782649e+01	-5.992712e+00	-1.183378e+01	5.956053e+00	-6.144105e-20	5.956053e+00	-5.956053e+00
78            	1.160151e+01	-6.190795e+00	1.779230e+01	2.398310e+01	5.878416e+00	1.810468e+01	-6.113132e+00	-1.199155e+01	5.800753e+00	-6.341160e-20	5.800753e+00	-5.800753e+00
79            	1.126278e+01	-6.323916e+00	1.758669e+01	2.391061e+01	5.911710e+00	1.799890e+01	-6.043595e+00	-1.195531e+01	5.631389e+00	-6.191523e-20	5.631389e+00	-5.631389e+00
80            	1.093853e+01	-6.340788e+00	1.727932e+01	2.362011e+01	5.933730e+00	1.768638e+01	-5.876324e+00	-1.181005e+01	5.469266e+00	-6.246958e-20	5.469266e+00	-5.469266e+00
81            	1.059412e+01	-6.326424e+00	1.692054e+01	2.324696e+01	5.941120e+00	1.730584e+01	-5.682362e+00	-1.162348e+01	5.297058e+00	-6.153549e-20	5.297058e+00	-5.297058e+00
82            	1.023737e+01	-6.331753e+00	1.656913e+01	2.290088e+01	5.948061e+00	1.695282e+01	-5.502378e+00	-1.145044e+01	5.118686e+00	-6.105687e-20	5.118686e+00	-5.118686e+00
83            	9.957087e+00	-6.393897e+00	1.635098e+01	2.274488e+01	5.961635e+00	1.678325e+01	-5.410806e+00	-1.137244e+01	4.978544e+00	-6.257807e-20	4.978544e+00	-4.978544e+00
84            	9.700028e+00	-6.423275e+00	1.612330e+01	2.254658e+01	5.979991e+00	1.656659e+01	-5.293297e+00	-1.127329e+01	4.850014e+00	-5.752521e-20	4.850014e+00	-4.850014e+00
85            	9.461419e+00	-6.331158e+00	1.579258e+01	2.212374e+01	6.004058e+00	1.611968e+01	-5.057810e+00	-1.106187e+01	4.730710e+00	-5.313523e-20	4.730710e+00	-4.730710e+00
86            	9.201052e+00	-6.063501e+00	1.526455e+01	2.132805e+01	6.023764e+00	1.530429e+01	-4.640263e+00	-1.066403e+01	4.600526e+00	-4.633776e-20	4.600526e+00	-4.600526e+00
87            	9.033466e+00	-5.590815e+00	1.462428e+01	2.021510e+01	6.041037e+00	1.417406e+01	-4.066512e+00	-1.010755e+01	4.516733e+00	-4.181352e-20	4.516733e+00	-4.516733e+00
88            	8.911450e+00	-5.083284e+00	1.399473e+01	1.907802e+01	6.051200e+00	1.302682e+01	-3.487810e+00	-9.539009e+00	4.455725e+00	-3.812347e-20	4.455725e+00	-4.455725e+00
89            	8.740503e+00	-4.745211e+00	1.348571e+01	1.823093e+01	6.047604e+00	1.218332e+01	-3.067859e+00	-9.115463e+00	4.370252e+00	-3.315213e-20	4.370252e+00	-4.370252e+00
90            	8.543130e+00	-4.607383e+00	1.315051e+01	1.775790e+01	6.037176e+00	1.172072e+01	-2.841773e+00	-8.878948e+00	4.271565e+00	-3.059762e-20	4.271565e+00	-4.271565e+00
91            	8.277760e+00	-4.655090e+00	1.293285e+01	1.758794e+01	6.020865e+00	1.156707e+01	-2.773105e+00	-8.793970e+00	4.138880e+00	-2.731838e-20	4.138880e+00	-4.138880e+00
92            	7.987467e+00	-4.778558e+00	1.276602e+01	1.754458e+01	6.012028e+00	1.153255e+01	-2.760263e+00	-8.772291e+00	3.993734e+00	-2.582295e-20	3.993734e+00	-3.993734e+00
93            	7.666160e+00	-4.917831e+00	1.258399e+01	1.750182e+01	6.014861e+00	1.148696e+01	-2.736050e+00	-8.750911e+00	3.833080e+00	-2.467892e-20	3.833080e+00	-3.833080e+00
94            	7.390351e+00	-5.086287e+00	1.247664e+01	1.756293e+01	6.031848e+00	1.153108e+01	-2.749614e+00	-8.781463e+00	3.695176e+00	-2.441783e-20	3.695176e+00	-3.695176e+00
95            	7.054252e+00	-5.275847e+00	1.233010e+01	1.760595e+01	6.051789e+00	1.155416e+01	-2.751184e+00	-8.802973e+00	3.527126e+00	-2.206129e-20	3.527126e+00	-3.527126e+00
96            	6.671213e+00	-5.439010e+00	1.211022e+01	1.754923e+01	6.067384e+00	1.148185e+01	-2.707232e+00	-8.774616e+00	3.335606e+00	-1.933262e-20	3.335606e+00	-3.335606e+00
97            	6.300683e+00	-5.509440e+00	1.181012e+01	1.731956e+01	6.079304e+00	1.124026e+01	-2.580477e+00	-8.659781e+00	3.150342e+00	-1.697860e-20	3.150342e+00	-3.150342e+00
98            	6.012406e+00	-5.467613e+00	1.148002e+01	1.694763e+01	6.089621e+00	1.085801e+01	-2.384195e+00	-8.473816e+00	3.006203e+00	-1.491629e-20	3.006203e+00	-3.006203e+00
99            	5.782882e+00	-5.333801e+00	1.111668e+01	1.645048e+01	6.095189e+00	1.035530e+01	-2.130053e+00	-8.225242e+00	2.891441e+00	-1.430067e-20	2.891441e+00	-2.891441e+00
100           	5.591838e+00	-5.194705e+00	1.078654e+01	1.598125e+01	6.096660e+00	9.884588e+00	-1.893964e+00	-7.990624e+00	2.795919e+00	-1.400717e-20	2.795919e+00	-2.795919e+00
101           	5.480891e+00	-5.099434e+00	1.058032e+01	1.567976e+01	6.100408e+00	9.579351e+00	-1.739472e+00	-7.839879e+00	2.740445e+00	-1.375453e-20	2.740445e+00	-2.740445e+00
102           	5.431808e+00	-5.041931e+00	1.047374e+01	1.551567e+01	6.110837e+00	9.404832e+00	-1.646998e+00	-7.757835e+00	2.715904e+00	-1.419813e-20	2.715904e+00	-2.715904e+00
103           	5.433853e+00	-4.851805e+00	1.028566e+01	1.513746e+01	6.124315e+00	9.013149e+00	-1.444417e+00	-7.568732e+00	2.716927e+00	-1.447089e-20	2.716927e+00	-2.716927e+00
104           	5.517336e+00	-4.336761e+00	9.854096e+00	1.419086e+01	6.139643e+00	8.051214e+00	-9.557857e-01	-7.095429e+00	2.758668e+00	-1.544547e-20	2.758668e+00	-2.758668e+00
105           	5.606217e+00	-3.576100e+00	9.182317e+00	1.275842e+01	6.149062e+00	6.609356e+00	-2.301472e-01	-6.379209e+00	2.803109e+00	-1.694618e-20	2.803109e+00	-2.803109e+00
106           	5.710975e+00	-2.890812e+00	8.601787e+00	1.149260e+01	6.142362e+00	5.350237e+00	3.960622e-01	-5.746300e+00	2.855488e+00	-1.909630e-20	2.855488e+00	-2.855488e+00
107           	5.671634e+00	-2.342352e+00	8.013986e+00	1.035634e+01	6.120571e+00	4.235766e+00	9.424025e-01	-5.178169e+00	2.835817e+00	-1.747080e-20	2.835817e+00	-2.835817e+00
108           	5.489445e+00	-2.149227e+00	7.638672e+00	9.787899e+00	6.083613e+00	3.704286e+00	1.189664e+00	-4.893950e+00	2.744723e+00	-1.711904e-20	2.744723e+00	-2.744723e+00
109           	5.182647e+00	-2.186742e+00	7.369389e+00	9.556131e+00	6.053423e+00	3.502708e+00	1.275357e+00	-4.778065e+00	2.591324e+00	-1.543970e-20	2.591324e+00	-2.591324e+00
110           	4.773347e+00	-2.290250e+00	7.063597e+00	9.353848e+00	6.041034e+00	3.312814e+00	1.364110e+00	-4.676924e+00	2.386674e+00	-1.228314e-20	2.386674e+00	-2.386674e+00
