# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	5.016490e-02	2	1.000000e+00	4.730920e-02	2	false	GAMG	1.000000e+00	4.454150e-02	38	true
2             	smoothSolver	9.657330e-01	6.008740e-02	2	7.664680e-01	4.667600e-02	2	false	GAMG	4.716890e-03	1.774390e-04	5	true
3             	smoothSolver	1.134850e-01	8.304280e-03	2	1.699160e-01	1.086420e-02	2	false	GAMG	7.164650e-01	3.387400e-02	23	true
4             	smoothSolver	9.564030e-02	7.266370e-03	2	1.320850e-01	8.921360e-03	2	false	GAMG	3.509070e-01	1.521510e-02	17	true
5             	smoothSolver	8.406040e-02	1.849480e-03	4	2.161970e-01	1.535550e-02	2	false	GAMG	1.536830e-01	6.355440e-03	7	true
6             	smoothSolver	6.634520e-02	1.073990e-03	4	1.562240e-01	1.270620e-02	2	false	GAMG	9.557230e-02	3.518110e-03	11	true
7             	smoothSolver	4.879140e-02	7.021570e-04	4	1.008880e-01	8.140300e-03	2	false	GAMG	2.841000e-01	1.293380e-02	10	true
8             	smoothSolver	3.367770e-02	4.372940e-04	4	8.111520e-02	7.712840e-03	2	false	GAMG	4.019290e-01	1.723490e-02	6	true
9             	smoothSolver	2.779400e-02	2.590090e-03	2	7.473010e-02	7.190900e-03	2	false	GAMG	4.635400e-01	1.761450e-02	8	true
10            	smoothSolver	2.706730e-02	2.550770e-03	2	8.430750e-02	7.262390e-03	2	false	GAMG	4.001330e-01	1.804730e-02	5	true
11            	smoothSolver	2.492550e-02	2.122150e-03	2	8.611950e-02	6.979160e-03	2	false	GAMG	4.653580e-01	2.218890e-02	5	true
12            	smoothSolver	2.181840e-02	1.732000e-03	2	7.882050e-02	6.622270e-03	2	false	GAMG	5.392880e-01	2.310330e-02	5	true
13            	smoothSolver	1.970000e-02	1.576280e-03	2	6.195320e-02	5.227930e-03	2	false	GAMG	3.912830e-01	1.803940e-02	5	true
14            	smoothSolver	1.797310e-02	1.555520e-03	2	4.824650e-02	3.848460e-03	2	false	GAMG	3.287040e-01	1.375850e-02	5	true
15            	smoothSolver	1.724090e-02	1.553260e-03	2	4.201890e-02	3.195400e-03	2	false	GAMG	3.247010e-01	1.208730e-02	5	true
16            	smoothSolver	1.583540e-02	1.353900e-03	2	3.919400e-02	2.963360e-03	2	false	GAMG	3.614460e-01	1.338490e-02	5	true
17            	smoothSolver	1.364970e-02	1.079010e-03	2	3.684010e-02	2.715390e-03	2	false	GAMG	4.483370e-01	1.923530e-02	5	true
18            	smoothSolver	1.180180e-02	9.336560e-04	2	3.471760e-02	2.565130e-03	2	false	GAMG	5.319980e-01	2.137590e-02	5	true
19            	smoothSolver	1.061520e-02	8.305290e-04	2	3.363590e-02	2.479530e-03	2	false	GAMG	4.754320e-01	1.497940e-02	5	true
20            	smoothSolver	9.832810e-03	7.761030e-04	2	3.303300e-02	2.410160e-03	2	false	GAMG	4.787090e-01	1.076680e-02	5	true
21            	smoothSolver	9.029140e-03	7.087890e-04	2	3.177450e-02	2.301430e-03	2	false	GAMG	4.334130e-01	1.211220e-02	5	true
22            	smoothSolver	8.346520e-03	6.439970e-04	2	2.985570e-02	2.087470e-03	2	false	GAMG	3.340990e-01	9.985480e-03	5	true
23            	smoothSolver	8.101090e-03	6.350600e-04	2	2.808300e-02	1.987760e-03	2	false	GAMG	2.675850e-01	1.323000e-02	4	true
24            	smoothSolver	8.127140e-03	6.264670e-04	2	2.684040e-02	1.899450e-03	2	false	GAMG	2.478250e-01	1.219220e-02	4	true
25            	smoothSolver	8.080670e-03	6.084810e-04	2	2.597740e-02	1.838360e-03	2	false	GAMG	2.426600e-01	7.512140e-03	5	true
26            	smoothSolver	7.884510e-03	5.949400e-04	2	2.537910e-02	1.808840e-03	2	false	GAMG	2.552980e-01	7.894060e-03	5	true
27            	smoothSolver	7.573050e-03	5.667090e-04	2	2.487910e-02	1.788400e-03	2	false	GAMG	2.697240e-01	7.915360e-03	5	true
28            	smoothSolver	7.293990e-03	5.495500e-04	2	2.440460e-02	1.749110e-03	2	false	GAMG	2.874480e-01	1.024140e-02	5	true
29            	smoothSolver	7.098920e-03	5.381850e-04	2	2.395670e-02	1.722850e-03	2	false	GAMG	2.913460e-01	1.114020e-02	4	true
30            	smoothSolver	6.917720e-03	5.321650e-04	2	2.349640e-02	1.688830e-03	2	false	GAMG	2.801440e-01	1.050400e-02	4	true
31            	smoothSolver	6.756070e-03	5.157650e-04	2	2.301080e-02	1.644380e-03	2	false	GAMG	2.537310e-01	9.941340e-03	4	true
32            	smoothSolver	6.649570e-03	5.092670e-04	2	2.257930e-02	1.621380e-03	2	false	GAMG	2.277960e-01	8.241880e-03	4	true
33            	smoothSolver	6.594200e-03	5.050700e-04	2	2.223140e-02	1.593180e-03	2	false	GAMG	2.052400e-01	6.580150e-03	4	true
