# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.484851e+00	1.232734e+00	1.252117e+00	1.938289e-02	-9.961419e-05	1.948251e-02	-9.791061e-03	-9.691447e-03	1.242425e+00	1.046942e-21	1.242425e+00	-1.242425e+00
2             	3.415459e+00	1.695968e+00	1.719491e+00	2.352270e-02	2.891551e-04	2.323355e-02	-1.147220e-02	-1.176135e-02	1.707729e+00	1.358015e-21	1.707729e+00	-1.707729e+00
3             	3.180113e+00	1.585597e+00	1.594516e+00	8.919712e-03	5.551343e-06	8.914161e-03	-4.454305e-03	-4.459856e-03	1.590056e+00	1.326560e-21	1.590056e+00	-1.590056e+00
4             	2.177412e+00	1.095539e+00	1.081873e+00	-1.366551e-02	-6.243364e-04	-1.304117e-02	6.208416e-03	6.832753e-03	1.088706e+00	9.586462e-22	1.088706e+00	-1.088706e+00
5             	8.828736e-01	4.606722e-01	4.222015e-01	-3.847071e-02	-1.659107e-03	-3.681160e-02	1.757625e-02	1.923535e-02	4.414368e-01	4.431699e-22	4.414368e-01	-4.414368e-01
6             	-2.599766e-01	-1.069721e-01	-1.530046e-01	-4.603252e-02	-1.437391e-03	-4.459513e-02	2.157887e-02	2.301626e-02	-1.299883e-01	-3.497881e-23	-1.299883e-01	1.299883e-01
7             	-9.823245e-01	-4.725601e-01	-5.097645e-01	-3.720443e-02	-7.210048e-04	-3.648343e-02	1.788121e-02	1.860222e-02	-4.911623e-01	-3.486738e-22	-4.911623e-01	4.911623e-01
8             	-1.222473e+00	-6.048618e-01	-6.176112e-01	-1.274939e-02	5.009999e-04	-1.325039e-02	6.875695e-03	6.374696e-03	-6.112365e-01	-5.582402e-22	-6.112365e-01	6.112365e-01
9             	-1.057281e+00	-5.367371e-01	-5.205443e-01	1.619281e-02	3.005265e-03	1.318754e-02	-5.091139e-03	-8.096404e-03	-5.286407e-01	-4.144695e-22	-5.286407e-01	5.286407e-01
10            	-6.552594e-01	-3.485560e-01	-3.067034e-01	4.185259e-02	5.717452e-03	3.613514e-02	-1.520885e-02	-2.092630e-02	-3.276297e-01	-4.493485e-22	-3.276297e-01	3.276297e-01
