# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	9.648275e+00	-2.872665e-01	9.935541e+00	1.022281e+01	5.035890e+00	5.186918e+00	-7.551372e-02	-5.111404e+00	4.824137e+00	4.475741e-21	4.824137e+00	-4.824137e+00
2             	1.242978e+01	-6.366609e-01	1.306645e+01	1.370311e+01	6.759387e+00	6.943720e+00	-9.216655e-02	-6.851553e+00	6.214892e+00	3.200156e-21	6.214892e+00	-6.214892e+00
3             	9.531995e+00	-4.688837e-01	1.000088e+01	1.046976e+01	5.211643e+00	5.258120e+00	-2.323849e-02	-5.234881e+00	4.765997e+00	1.401770e-21	4.765997e+00	-4.765997e+00
4             	2.503159e+00	-3.350245e-01	2.838183e+00	3.173208e+00	1.533295e+00	1.639913e+00	-5.330923e-02	-1.586604e+00	1.251579e+00	2.691855e-22	1.251579e+00	-1.251579e+00
5             	-3.950386e+00	-2.949101e-01	-3.655476e+00	-3.360566e+00	-1.769336e+00	-1.591230e+00	-8.905276e-02	1.680283e+00	-1.975193e+00	-1.078860e-21	-1.975193e+00	1.975193e+00
6             	-6.262274e+00	2.615450e-03	-6.264889e+00	-6.267505e+00	-3.196187e+00	-3.071318e+00	-6.243410e-02	3.133752e+00	-3.131137e+00	-1.300680e-21	-3.131137e+00	3.131137e+00
7             	-5.103641e+00	6.917358e-02	-5.172815e+00	-5.241988e+00	-2.610320e+00	-2.631668e+00	1.067385e-02	2.620994e+00	-2.551821e+00	-8.544223e-22	-2.551821e+00	2.551821e+00
8             	-1.434653e+00	2.598863e-01	-1.694540e+00	-1.954426e+00	-8.810453e-01	-1.073380e+00	9.616756e-02	9.772129e-01	-7.173266e-01	1.138186e-22	-7.173266e-01	7.173266e-01
9             	2.358491e+00	5.704140e-01	1.788077e+00	1.217663e+00	7.604290e-01	4.572340e-01	1.515975e-01	-6.088315e-01	1.179246e+00	9.806516e-22	1.179246e+00	-1.179246e+00
10            	3.868869e+00	5.388327e-01	3.330037e+00	2.791204e+00	1.518196e+00	1.273008e+00	1.225941e-01	-1.395602e+00	1.934435e+00	1.051546e-21	1.934435e+00	-1.934435e+00
